"","Condition","Agegroup","ET_first","Participant","Gender","Ageindays","Counterbalanced_order","Item_order","DV","In_for_et","Propcorrect","Vocabularycategory","Expressive_vocab_direct_raw","CDIIII_vocab","CDIIII_sentences","CDIIII_usingsentences","Item"
"1","active","2_years","second","3","female",852,"2","1",1,0,0.67,"Not_completed",NA,NA,NA,NA,5
"2","active","2_years","second","3","female",852,"2","2",0,0,0.67,"Not_completed",NA,NA,NA,NA,6
"3","active","2_years","second","3","female",852,"2","3",0,0,0.67,"Not_completed",NA,NA,NA,NA,1
"4","active","2_years","second","3","female",852,"2","4",1,0,0.67,"Not_completed",NA,NA,NA,NA,2
"5","active","2_years","second","3","female",852,"2","5",1,0,0.67,"Not_completed",NA,NA,NA,NA,3
"6","active","2_years","second","3","female",852,"2","6",1,0,0.67,"Not_completed",NA,NA,NA,NA,4
"7","active","2_years","second","4","female",839,"3","1",1,0,0.5,"Not_completed",NA,NA,NA,NA,2
"8","active","2_years","second","4","female",839,"3","2",0,0,0.5,"Not_completed",NA,NA,NA,NA,3
"9","active","2_years","second","4","female",839,"3","3",0,0,0.5,"Not_completed",NA,NA,NA,NA,4
"10","active","2_years","second","4","female",839,"3","4",0,0,0.5,"Not_completed",NA,NA,NA,NA,5
"11","active","2_years","second","4","female",839,"3","5",1,0,0.5,"Not_completed",NA,NA,NA,NA,6
"12","active","2_years","second","4","female",839,"3","6",1,0,0.5,"Not_completed",NA,NA,NA,NA,1
"13","active","2_years","second","7","male",743,"2","1",1,0,0.6,"Not_completed",NA,NA,NA,NA,5
"14","active","2_years","second","7","male",743,"2","2",1,0,0.6,"Not_completed",NA,NA,NA,NA,6
"15","active","2_years","second","7","male",743,"2","3",1,0,0.6,"Not_completed",NA,NA,NA,NA,1
"16","active","2_years","second","7","male",743,"2","4",0,0,0.6,"Not_completed",NA,NA,NA,NA,2
"17","active","2_years","second","7","male",743,"2","5",NA,0,0.6,"Not_completed",NA,NA,NA,NA,3
"18","active","2_years","second","7","male",743,"2","6",0,0,0.6,"Not_completed",NA,NA,NA,NA,4
"19","active","2_years","second","8","male",822,"4","1",1,0,0.33,"Not_completed",NA,NA,NA,NA,4
"20","active","2_years","second","8","male",822,"4","2",0,0,0.33,"Not_completed",NA,NA,NA,NA,5
"21","active","2_years","second","8","male",822,"4","3",0,0,0.33,"Not_completed",NA,NA,NA,NA,6
"22","active","2_years","second","8","male",822,"4","4",0,0,0.33,"Not_completed",NA,NA,NA,NA,1
"23","active","2_years","second","8","male",822,"4","5",0,0,0.33,"Not_completed",NA,NA,NA,NA,2
"24","active","2_years","second","8","male",822,"4","6",1,0,0.33,"Not_completed",NA,NA,NA,NA,3
"25","active","2_years","second","9","female",726,"1","1",0,0,0.33,"Not_completed",NA,NA,NA,NA,1
"26","active","2_years","second","9","female",726,"1","2",1,0,0.33,"Not_completed",NA,NA,NA,NA,2
"27","active","2_years","second","9","female",726,"1","3",0,0,0.33,"Not_completed",NA,NA,NA,NA,3
"28","active","2_years","second","9","female",726,"1","4",0,0,0.33,"Not_completed",NA,NA,NA,NA,4
"29","active","2_years","second","9","female",726,"1","5",0,0,0.33,"Not_completed",NA,NA,NA,NA,5
"30","active","2_years","second","9","female",726,"1","6",1,0,0.33,"Not_completed",NA,NA,NA,NA,6
"31","active","2_years","second","10","female",873,"1","1",1,0,0.83,"Not_completed",NA,NA,NA,NA,1
"32","active","2_years","second","10","female",873,"1","2",0,0,0.83,"Not_completed",NA,NA,NA,NA,2
"33","active","2_years","second","10","female",873,"1","3",1,0,0.83,"Not_completed",NA,NA,NA,NA,3
"34","active","2_years","second","10","female",873,"1","4",1,0,0.83,"Not_completed",NA,NA,NA,NA,4
"35","active","2_years","second","10","female",873,"1","5",1,0,0.83,"Not_completed",NA,NA,NA,NA,5
"36","active","2_years","second","10","female",873,"1","6",1,0,0.83,"Not_completed",NA,NA,NA,NA,6
"37","active","2_years","second","11","female",847,"3","1",1,0,0.67,"vocab_above_median",23,NA,NA,NA,2
"38","active","2_years","second","11","female",847,"3","2",0,0,0.67,"vocab_above_median",23,NA,NA,NA,3
"39","active","2_years","second","11","female",847,"3","3",1,0,0.67,"vocab_above_median",23,NA,NA,NA,4
"40","active","2_years","second","11","female",847,"3","4",1,0,0.67,"vocab_above_median",23,NA,NA,NA,5
"41","active","2_years","second","11","female",847,"3","5",1,0,0.67,"vocab_above_median",23,NA,NA,NA,6
"42","active","2_years","second","11","female",847,"3","6",0,0,0.67,"vocab_above_median",23,NA,NA,NA,1
"43","active","2_years","second","12","female",798,"4","1",0,0,0.67,"vocab_under_median",5,NA,NA,NA,4
"44","active","2_years","second","12","female",798,"4","2",1,0,0.67,"vocab_under_median",5,NA,NA,NA,5
"45","active","2_years","second","12","female",798,"4","3",0,0,0.67,"vocab_under_median",5,NA,NA,NA,6
"46","active","2_years","second","12","female",798,"4","4",1,0,0.67,"vocab_under_median",5,NA,NA,NA,1
"47","active","2_years","second","12","female",798,"4","5",1,0,0.67,"vocab_under_median",5,NA,NA,NA,2
"48","active","2_years","second","12","female",798,"4","6",1,0,0.67,"vocab_under_median",5,NA,NA,NA,3
"49","active","2_years","second","14","male",773,"2","1",1,0,0.67,"vocab_under_median",8,NA,NA,NA,5
"50","active","2_years","second","14","male",773,"2","2",1,0,0.67,"vocab_under_median",8,NA,NA,NA,6
"51","active","2_years","second","14","male",773,"2","3",1,0,0.67,"vocab_under_median",8,NA,NA,NA,1
"52","active","2_years","second","14","male",773,"2","4",0,0,0.67,"vocab_under_median",8,NA,NA,NA,2
"53","active","2_years","second","14","male",773,"2","5",0,0,0.67,"vocab_under_median",8,NA,NA,NA,3
"54","active","2_years","second","14","male",773,"2","6",1,0,0.67,"vocab_under_median",8,NA,NA,NA,4
"55","active","2_years","second","15","male",720,"3","1",1,0,0.67,"vocab_under_median",22,NA,NA,NA,2
"56","active","2_years","second","15","male",720,"3","2",0,0,0.67,"vocab_under_median",22,NA,NA,NA,3
"57","active","2_years","second","15","male",720,"3","3",1,0,0.67,"vocab_under_median",22,NA,NA,NA,4
"58","active","2_years","second","15","male",720,"3","4",1,0,0.67,"vocab_under_median",22,NA,NA,NA,5
"59","active","2_years","second","15","male",720,"3","5",0,0,0.67,"vocab_under_median",22,NA,NA,NA,6
"60","active","2_years","second","15","male",720,"3","6",1,0,0.67,"vocab_under_median",22,NA,NA,NA,1
"61","active","2_years","second","17","male",759,"1","1",1,0,0.83,"vocab_under_median",19,NA,NA,NA,1
"62","active","2_years","second","17","male",759,"1","2",1,0,0.83,"vocab_under_median",19,NA,NA,NA,2
"63","active","2_years","second","17","male",759,"1","3",0,0,0.83,"vocab_under_median",19,NA,NA,NA,3
"64","active","2_years","second","17","male",759,"1","4",1,0,0.83,"vocab_under_median",19,NA,NA,NA,4
"65","active","2_years","second","17","male",759,"1","5",1,0,0.83,"vocab_under_median",19,NA,NA,NA,5
"66","active","2_years","second","17","male",759,"1","6",1,0,0.83,"vocab_under_median",19,NA,NA,NA,6
"67","active","2_years","first","18","female",800,"2","1",1,1,0.6,"Not_completed",NA,NA,NA,NA,5
"68","active","2_years","first","18","female",800,"2","2",1,1,0.6,"Not_completed",NA,NA,NA,NA,6
"69","active","2_years","first","18","female",800,"2","3",NA,1,0.6,"Not_completed",NA,NA,NA,NA,1
"70","active","2_years","first","18","female",800,"2","4",0,1,0.6,"Not_completed",NA,NA,NA,NA,2
"71","active","2_years","first","18","female",800,"2","5",0,1,0.6,"Not_completed",NA,NA,NA,NA,3
"72","active","2_years","first","18","female",800,"2","6",1,1,0.6,"Not_completed",NA,NA,NA,NA,4
"73","active","2_years","first","24","male",792,"3","1",1,1,0.5,"vocab_above_median",26,NA,NA,NA,2
"74","active","2_years","first","24","male",792,"3","2",0,1,0.5,"vocab_above_median",26,NA,NA,NA,3
"75","active","2_years","first","24","male",792,"3","3",0,1,0.5,"vocab_above_median",26,NA,NA,NA,4
"76","active","2_years","first","24","male",792,"3","4",0,1,0.5,"vocab_above_median",26,NA,NA,NA,5
"77","active","2_years","first","24","male",792,"3","5",1,1,0.5,"vocab_above_median",26,NA,NA,NA,6
"78","active","2_years","first","24","male",792,"3","6",1,1,0.5,"vocab_above_median",26,NA,NA,NA,1
"79","active","2_years","first","26","female",766,"2","1",0,1,0.33,"vocab_above_median",25,NA,NA,NA,5
"80","active","2_years","first","26","female",766,"2","2",0,1,0.33,"vocab_above_median",25,NA,NA,NA,6
"81","active","2_years","first","26","female",766,"2","3",0,1,0.33,"vocab_above_median",25,NA,NA,NA,1
"82","active","2_years","first","26","female",766,"2","4",1,1,0.33,"vocab_above_median",25,NA,NA,NA,2
"83","active","2_years","first","26","female",766,"2","5",1,1,0.33,"vocab_above_median",25,NA,NA,NA,3
"84","active","2_years","first","26","female",766,"2","6",0,1,0.33,"vocab_above_median",25,NA,NA,NA,4
"85","active","2_years","first","29","female",722,"1","1",1,1,0.5,"vocab_under_median",6,NA,NA,NA,1
"86","active","2_years","first","29","female",722,"1","2",0,1,0.5,"vocab_under_median",6,NA,NA,NA,2
"87","active","2_years","first","29","female",722,"1","3",1,1,0.5,"vocab_under_median",6,NA,NA,NA,3
"88","active","2_years","first","29","female",722,"1","4",0,1,0.5,"vocab_under_median",6,NA,NA,NA,4
"89","active","2_years","first","29","female",722,"1","5",0,1,0.5,"vocab_under_median",6,NA,NA,NA,5
"90","active","2_years","first","29","female",722,"1","6",1,1,0.5,"vocab_under_median",6,NA,NA,NA,6
"91","active","2_years","first","132","male",829,"4","1",0,1,0.17,"vocab_above_median",27,NA,NA,NA,4
"92","active","2_years","first","132","male",829,"4","2",1,1,0.17,"vocab_above_median",27,NA,NA,NA,5
"93","active","2_years","first","132","male",829,"4","3",0,1,0.17,"vocab_above_median",27,NA,NA,NA,6
"94","active","2_years","first","132","male",829,"4","4",0,1,0.17,"vocab_above_median",27,NA,NA,NA,1
"95","active","2_years","first","132","male",829,"4","5",0,1,0.17,"vocab_above_median",27,NA,NA,NA,2
"96","active","2_years","first","132","male",829,"4","6",0,1,0.17,"vocab_above_median",27,NA,NA,NA,3
"97","active","2_years","second","133","male",840,"1","1",0,0,0.2,"vocab_above_median",24,NA,NA,NA,1
"98","active","2_years","second","133","male",840,"1","2",0,0,0.2,"vocab_above_median",24,NA,NA,NA,2
"99","active","2_years","second","133","male",840,"1","3",0,0,0.2,"vocab_above_median",24,NA,NA,NA,3
"100","active","2_years","second","133","male",840,"1","4",1,0,0.2,"vocab_above_median",24,NA,NA,NA,4
"101","active","2_years","second","133","male",840,"1","5",0,0,0.2,"vocab_above_median",24,NA,NA,NA,5
"102","active","2_years","second","133","male",840,"1","6",NA,0,0.2,"vocab_above_median",24,NA,NA,NA,6
"103","active","2_years","second","134","female",867,"3","1",0,0,0.5,"vocab_above_median",24,NA,NA,NA,2
"104","active","2_years","second","134","female",867,"3","2",0,0,0.5,"vocab_above_median",24,NA,NA,NA,3
"105","active","2_years","second","134","female",867,"3","3",0,0,0.5,"vocab_above_median",24,NA,NA,NA,4
"106","active","2_years","second","134","female",867,"3","4",1,0,0.5,"vocab_above_median",24,NA,NA,NA,5
"107","active","2_years","second","134","female",867,"3","5",1,0,0.5,"vocab_above_median",24,NA,NA,NA,6
"108","active","2_years","second","134","female",867,"3","6",1,0,0.5,"vocab_above_median",24,NA,NA,NA,1
"109","active","2_years","first","138","female",854,"1","1",1,1,0.83,"vocab_under_median",22,NA,NA,NA,1
"110","active","2_years","first","138","female",854,"1","2",0,1,0.83,"vocab_under_median",22,NA,NA,NA,2
"111","active","2_years","first","138","female",854,"1","3",1,1,0.83,"vocab_under_median",22,NA,NA,NA,3
"112","active","2_years","first","138","female",854,"1","4",1,1,0.83,"vocab_under_median",22,NA,NA,NA,4
"113","active","2_years","first","138","female",854,"1","5",1,1,0.83,"vocab_under_median",22,NA,NA,NA,5
"114","active","2_years","first","138","female",854,"1","6",1,1,0.83,"vocab_under_median",22,NA,NA,NA,6
"115","active","2_years","first","139","female",884,"2","1",0,1,0.17,"vocab_above_median",28,NA,NA,NA,5
"116","active","2_years","first","139","female",884,"2","2",0,1,0.17,"vocab_above_median",28,NA,NA,NA,6
"117","active","2_years","first","139","female",884,"2","3",1,1,0.17,"vocab_above_median",28,NA,NA,NA,1
"118","active","2_years","first","139","female",884,"2","4",0,1,0.17,"vocab_above_median",28,NA,NA,NA,2
"119","active","2_years","first","139","female",884,"2","5",0,1,0.17,"vocab_above_median",28,NA,NA,NA,3
"120","active","2_years","first","139","female",884,"2","6",0,1,0.17,"vocab_above_median",28,NA,NA,NA,4
"121","active","2_years","first","202","female",858,"4","1",1,1,0.5,"vocab_above_median",25,NA,NA,NA,4
"122","active","2_years","first","202","female",858,"4","2",0,1,0.5,"vocab_above_median",25,NA,NA,NA,5
"123","active","2_years","first","202","female",858,"4","3",1,1,0.5,"vocab_above_median",25,NA,NA,NA,6
"124","active","2_years","first","202","female",858,"4","4",0,1,0.5,"vocab_above_median",25,NA,NA,NA,1
"125","active","2_years","first","202","female",858,"4","5",0,1,0.5,"vocab_above_median",25,NA,NA,NA,2
"126","active","2_years","first","202","female",858,"4","6",1,1,0.5,"vocab_above_median",25,NA,NA,NA,3
"127","active","2_years","first","203","male",852,"3","1",1,1,0.5,"vocab_above_median",27,NA,NA,NA,2
"128","active","2_years","first","203","male",852,"3","2",1,1,0.5,"vocab_above_median",27,NA,NA,NA,3
"129","active","2_years","first","203","male",852,"3","3",1,1,0.5,"vocab_above_median",27,NA,NA,NA,4
"130","active","2_years","first","203","male",852,"3","4",0,1,0.5,"vocab_above_median",27,NA,NA,NA,5
"131","active","2_years","first","203","male",852,"3","5",0,1,0.5,"vocab_above_median",27,NA,NA,NA,6
"132","active","2_years","first","203","male",852,"3","6",0,1,0.5,"vocab_above_median",27,NA,NA,NA,1
"133","active","2_years","first","204","male",871,"3","1",1,1,0.83,"vocab_under_median",14,NA,NA,NA,2
"134","active","2_years","first","204","male",871,"3","2",1,1,0.83,"vocab_under_median",14,NA,NA,NA,3
"135","active","2_years","first","204","male",871,"3","3",0,1,0.83,"vocab_under_median",14,NA,NA,NA,4
"136","active","2_years","first","204","male",871,"3","4",1,1,0.83,"vocab_under_median",14,NA,NA,NA,5
"137","active","2_years","first","204","male",871,"3","5",1,1,0.83,"vocab_under_median",14,NA,NA,NA,6
"138","active","2_years","first","204","male",871,"3","6",1,1,0.83,"vocab_under_median",14,NA,NA,NA,1
"139","active","2_years","first","210","male",777,"4","1",1,1,1,"vocab_under_median",2,NA,NA,NA,4
"140","active","2_years","first","210","male",777,"4","2",1,1,1,"vocab_under_median",2,NA,NA,NA,5
"141","active","2_years","first","210","male",777,"4","3",1,1,1,"vocab_under_median",2,NA,NA,NA,6
"142","active","2_years","first","210","male",777,"4","4",1,1,1,"vocab_under_median",2,NA,NA,NA,1
"143","active","2_years","first","210","male",777,"4","5",1,1,1,"vocab_under_median",2,NA,NA,NA,2
"144","active","2_years","first","210","male",777,"4","6",1,1,1,"vocab_under_median",2,NA,NA,NA,3
"145","passive","2_years","first","81","female",800,"2","1",1,1,0.5,"vocab_under_median",21,NA,NA,NA,5
"146","passive","2_years","first","81","female",800,"2","2",1,1,0.5,"vocab_under_median",21,NA,NA,NA,6
"147","passive","2_years","first","81","female",800,"2","3",0,1,0.5,"vocab_under_median",21,NA,NA,NA,1
"148","passive","2_years","first","81","female",800,"2","4",0,1,0.5,"vocab_under_median",21,NA,NA,NA,2
"149","passive","2_years","first","81","female",800,"2","5",1,1,0.5,"vocab_under_median",21,NA,NA,NA,3
"150","passive","2_years","first","81","female",800,"2","6",0,1,0.5,"vocab_under_median",21,NA,NA,NA,4
"151","passive","2_years","first","82","male",744,"4","1",1,1,0.67,"vocab_under_median",14,NA,NA,NA,4
"152","passive","2_years","first","82","male",744,"4","2",1,1,0.67,"vocab_under_median",14,NA,NA,NA,5
"153","passive","2_years","first","82","male",744,"4","3",1,1,0.67,"vocab_under_median",14,NA,NA,NA,6
"154","passive","2_years","first","82","male",744,"4","4",0,1,0.67,"vocab_under_median",14,NA,NA,NA,1
"155","passive","2_years","first","82","male",744,"4","5",0,1,0.67,"vocab_under_median",14,NA,NA,NA,2
"156","passive","2_years","first","82","male",744,"4","6",1,1,0.67,"vocab_under_median",14,NA,NA,NA,3
"157","passive","2_years","second","83","male",732,"1","1",0,0,0.33,"vocab_above_median",23,NA,NA,NA,1
"158","passive","2_years","second","83","male",732,"1","2",0,0,0.33,"vocab_above_median",23,NA,NA,NA,2
"159","passive","2_years","second","83","male",732,"1","3",0,0,0.33,"vocab_above_median",23,NA,NA,NA,3
"160","passive","2_years","second","83","male",732,"1","4",1,0,0.33,"vocab_above_median",23,NA,NA,NA,4
"161","passive","2_years","second","83","male",732,"1","5",1,0,0.33,"vocab_above_median",23,NA,NA,NA,5
"162","passive","2_years","second","83","male",732,"1","6",0,0,0.33,"vocab_above_median",23,NA,NA,NA,6
"163","passive","2_years","first","84","female",775,"4","1",0,1,0.33,"vocab_above_median",25,NA,NA,NA,4
"164","passive","2_years","first","84","female",775,"4","2",0,1,0.33,"vocab_above_median",25,NA,NA,NA,5
"165","passive","2_years","first","84","female",775,"4","3",1,1,0.33,"vocab_above_median",25,NA,NA,NA,6
"166","passive","2_years","first","84","female",775,"4","4",0,1,0.33,"vocab_above_median",25,NA,NA,NA,1
"167","passive","2_years","first","84","female",775,"4","5",0,1,0.33,"vocab_above_median",25,NA,NA,NA,2
"168","passive","2_years","first","84","female",775,"4","6",1,1,0.33,"vocab_above_median",25,NA,NA,NA,3
"169","passive","2_years","second","86","male",831,"3","1",1,0,0.33,"vocab_under_median",21,NA,NA,NA,2
"170","passive","2_years","second","86","male",831,"3","2",0,0,0.33,"vocab_under_median",21,NA,NA,NA,3
"171","passive","2_years","second","86","male",831,"3","3",0,0,0.33,"vocab_under_median",21,NA,NA,NA,4
"172","passive","2_years","second","86","male",831,"3","4",1,0,0.33,"vocab_under_median",21,NA,NA,NA,5
"173","passive","2_years","second","86","male",831,"3","5",0,0,0.33,"vocab_under_median",21,NA,NA,NA,6
"174","passive","2_years","second","86","male",831,"3","6",0,0,0.33,"vocab_under_median",21,NA,NA,NA,1
"175","passive","2_years","first","87","male",868,"2","1",0,1,0.17,"vocab_under_median",18,NA,NA,NA,5
"176","passive","2_years","first","87","male",868,"2","2",0,1,0.17,"vocab_under_median",18,NA,NA,NA,6
"177","passive","2_years","first","87","male",868,"2","3",0,1,0.17,"vocab_under_median",18,NA,NA,NA,1
"178","passive","2_years","first","87","male",868,"2","4",0,1,0.17,"vocab_under_median",18,NA,NA,NA,2
"179","passive","2_years","first","87","male",868,"2","5",0,1,0.17,"vocab_under_median",18,NA,NA,NA,3
"180","passive","2_years","first","87","male",868,"2","6",1,1,0.17,"vocab_under_median",18,NA,NA,NA,4
"181","passive","2_years","first","88","female",880,"1","1",1,1,0.5,"vocab_above_median",23,NA,NA,NA,1
"182","passive","2_years","first","88","female",880,"1","2",1,1,0.5,"vocab_above_median",23,NA,NA,NA,2
"183","passive","2_years","first","88","female",880,"1","3",0,1,0.5,"vocab_above_median",23,NA,NA,NA,3
"184","passive","2_years","first","88","female",880,"1","4",0,1,0.5,"vocab_above_median",23,NA,NA,NA,4
"185","passive","2_years","first","88","female",880,"1","5",0,1,0.5,"vocab_above_median",23,NA,NA,NA,5
"186","passive","2_years","first","88","female",880,"1","6",1,1,0.5,"vocab_above_median",23,NA,NA,NA,6
"187","passive","2_years","second","89","female",738,"2","1",0,0,0.83,"vocab_under_median",21,NA,NA,NA,5
"188","passive","2_years","second","89","female",738,"2","2",1,0,0.83,"vocab_under_median",21,NA,NA,NA,6
"189","passive","2_years","second","89","female",738,"2","3",1,0,0.83,"vocab_under_median",21,NA,NA,NA,1
"190","passive","2_years","second","89","female",738,"2","4",1,0,0.83,"vocab_under_median",21,NA,NA,NA,2
"191","passive","2_years","second","89","female",738,"2","5",1,0,0.83,"vocab_under_median",21,NA,NA,NA,3
"192","passive","2_years","second","89","female",738,"2","6",1,0,0.83,"vocab_under_median",21,NA,NA,NA,4
"193","passive","2_years","first","91","female",719,"3","1",1,1,0.5,"vocab_above_median",25,NA,NA,NA,2
"194","passive","2_years","first","91","female",719,"3","2",0,1,0.5,"vocab_above_median",25,NA,NA,NA,3
"195","passive","2_years","first","91","female",719,"3","3",0,1,0.5,"vocab_above_median",25,NA,NA,NA,4
"196","passive","2_years","first","91","female",719,"3","4",1,1,0.5,"vocab_above_median",25,NA,NA,NA,5
"197","passive","2_years","first","91","female",719,"3","5",1,1,0.5,"vocab_above_median",25,NA,NA,NA,6
"198","passive","2_years","first","91","female",719,"3","6",0,1,0.5,"vocab_above_median",25,NA,NA,NA,1
"199","passive","2_years","second","92","female",856,"4","1",0,0,0.17,"vocab_above_median",24,NA,NA,NA,4
"200","passive","2_years","second","92","female",856,"4","2",0,0,0.17,"vocab_above_median",24,NA,NA,NA,5
"201","passive","2_years","second","92","female",856,"4","3",0,0,0.17,"vocab_above_median",24,NA,NA,NA,6
"202","passive","2_years","second","92","female",856,"4","4",1,0,0.17,"vocab_above_median",24,NA,NA,NA,1
"203","passive","2_years","second","92","female",856,"4","5",0,0,0.17,"vocab_above_median",24,NA,NA,NA,2
